decorator_id,name,city,country,specializes_in,suitable_for,themes,flower_specialties,color_schemes,min_budget_local,max_budget_local,price_per_guest_local,currency,services_included,description,contact_email,website
D001,The Floral Atelier London,London,UK,"indoor,outdoor","indoor,outdoor","romantic,classic,garden,bohemian,royal","roses,peonies,hydrangeas,eucalyptus,orchids","blush pink and ivory,white and gold,dusty rose and sage,lavender and silver",2370.0,19750.0,36.0,GBP,"Full floral design,Table centrepieces,Ceremony arch,Bridal bouquet,Venue draping,Mood lighting",Award-winning London florists and stylists specialising in lush romantic arrangements and full venue transformations,samdevuser@gmail.com,www.thefloralatelier.co.uk
D002,Elegance Event Styling London,London,UK,indoor,indoor,"luxury,black tie,contemporary,art deco","calla lilies,roses,anthurium","black and gold,navy and silver,emerald and gold,champagne and blush",3950.0,31600.0,55.0,GBP,"Luxury linen hire,Chandelier installation,Table design,Chair covers,Candelabras,Custom signage",London's premier luxury indoor event stylists — think chandelier-lit ballrooms and black-tie grandeur,samdevuser@gmail.com,www.eleganceeventstyling.co.uk
D003,Garden Dreams London,London,UK,outdoor,outdoor,"english garden,rustic,wildflower,vintage","wildflowers,sunflowers,lavender,sweet peas,dahlias","pastel rainbow,yellow and cream,peach and terracotta,soft sage and white",1580.0,11850.0,24.0,GBP,"Floral arches,Picnic-style table runners,Fairy lights,Lanterns,Vintage props,Marquee styling","Specialists in dreamy English garden weddings — wildflowers, vintage touches and fairy-light canopies",samdevuser@gmail.com,www.gardendreamslondon.co.uk
D004,Sakura Bloom Events Tokyo,Tokyo,Japan,"indoor,outdoor","indoor,outdoor","japanese minimalist,cherry blossom,zen,modern asian","cherry blossom,chrysanthemum,lotus,ikebana arrangements","pink and white,red and gold,soft green and ivory,monochrome black and white",375000.0,3000000.0,6000.0,JPY,"Traditional ikebana,Cherry blossom installations,Lantern displays,Origami accents,Bamboo arrangements,Fabric draping",Exquisite Japanese floral artistry blending ikebana tradition with modern minimalist wedding aesthetics,samdevuser@gmail.com,www.sakurabloomevents.jp
D005,Tokyo Luxe Decor,Tokyo,Japan,indoor,indoor,"modern luxury,geometric,high fashion,contemporary japanese","orchids,roses,anthuriums","white and gold,silver and midnight blue,black and rose gold,all white",900000.0,7500000.0,13500.0,JPY,"Premium floral walls,Neon signage,Suspended floral ceilings,Luxury linen,LED lighting,Photo booth styling","Ultra-modern luxury event design for Tokyo's most exclusive indoor venues — bold, striking and unforgettable",samdevuser@gmail.com,www.tokyoluxedecor.jp
D006,Yoyogi Garden Styling Tokyo,Tokyo,Japan,outdoor,outdoor,"woodland,zen garden,natural,traditional japanese","wisteria,azalea,bamboo grass,maple leaf","earth tones,orange and red autumn,green and white,soft brown and cream",270000.0,1800000.0,3750.0,JPY,"Natural wooden installations,Stone lanterns,Moss table runners,Bamboo ceremony gate,Outdoor lighting,Floor cushion seating","Organic outdoor styling inspired by Japan's ancient gardens — earthy, serene and beautifully natural",samdevuser@gmail.com,www.yoyogigardenstyling.jp
D007,Manhattan Blooms NYC,New York City,USA,"indoor,outdoor","indoor,outdoor","classic new york,glamour,gatsby,industrial chic,modern romance","roses,ranunculus,dahlias,peonies,tulips","classic white and gold,blush and ivory,jewel tones,all black and white",4000.0,35000.0,65.0,USD,"Floral installations,Ceiling florals,Ceremony backdrop,Table design,Cocktail hour decor,Lighting design",New York's iconic full-service floral and event design studio — from intimate lofts to grand ballrooms,samdevuser@gmail.com,www.manhattanblooms.com
D008,Brooklyn Boho Decor NYC,New York City,USA,outdoor,outdoor,"bohemian,rustic chic,festival,free spirit","pampas grass,dried flowers,sunflowers,ranunculus,herbs","terracotta and rust,burnt orange and sage,warm neutrals,burgundy and blush",2000.0,18000.0,35.0,USD,"Macrame installations,Pampas grass arches,Dried flower arrangements,Boho signage,Lanterns,Hammock lounges",Brooklyn's most beloved outdoor boho wedding stylists — effortlessly cool and wildly photogenic,samdevuser@gmail.com,www.brooklynbohodecor.com
D009,Fifth Avenue Florals NYC,New York City,USA,indoor,indoor,"luxury,classic american,timeless,formal","white roses,gardenias,white orchids,stephanotis","all white,white and platinum,blush and champagne,classic red and white",8000.0,60000.0,100.0,USD,"White-glove full service,Premium floral walls,Crystal chandelier draping,Luxury linen,Monogram projections,Custom installations",NYC's most prestigious indoor floral design house — the choice of Manhattan's elite for a century,samdevuser@gmail.com,www.fifthavenueflorals.com
D010,Paris Fleurs de Mariage,Paris,France,"indoor,outdoor","indoor,outdoor","parisian romance,french classic,vintage,garden party","roses,peonies,lily of the valley,lavender,tulips","white and blush,sage and ivory,lavender and purple,red and white",3220.0,25760.0,51.0,EUR,"Full floral styling,French countryside arrangements,Ceremony canopy,Antique prop hire,Ribbon installations,Scented florals",The quintessential Parisian wedding florist — lush romantic arrangements with authentic French garden elegance,samdevuser@gmail.com,www.parisfleursdemariage.fr
