venue_id,name,city,country,venue_type,setting,address,capacity_min,capacity_max,base_price_local,price_per_guest_local,currency,supported_functions,amenities,description,contact_email,website,booked_dates
V001,The Savoy Grand Ballroom,London,UK,hotel,indoor,"Strand, London WC2R 0EZ",80,400,6320.0,142.0,GBP,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","On-site catering,Bridal suite,Concierge service,AV equipment,Wedding coordinator,Overnight accommodations",Iconic luxury hotel on the Strand with spectacular Thames views and timeless elegance,samdevuser@gmail.com,www.thesavoylondon.com,2026-06-14|2026-07-19|2026-08-09
V002,Kensington Palace Gardens Pavilion,London,UK,garden,outdoor,"Kensington Gardens, London W8 4PX",40,200,3950.0,111.0,GBP,"ceremony,reception,ceremony_and_reception","Outdoor ceremony space,Marquee option,Heritage gardens,Floral arrangements,Photographer spots,Ample parking",Romantic outdoor pavilion surrounded by the historic Kensington Palace gardens,samdevuser@gmail.com,www.kensingtonpavilion.co.uk,2026-05-25|2026-09-13
V003,Shoreditch Warehouse Loft,London,UK,banquet_hall,indoor,"15 Rivington St, London EC2A 3DU",60,350,2765.0,87.0,GBP,"reception,ceremony_and_reception,rehearsal_dinner,engagement_party","Industrial-chic decor,Full AV suite,Dance floor,Bar service,Flexible layout,Rooftop access",Trendy East London warehouse venue with exposed brick and modern amenities,samdevuser@gmail.com,www.shoreditchweddings.co.uk,2026-06-06|2026-07-11|2026-08-22
V004,Hampton Court Palace Grounds,London,UK,mansion,outdoor,"Hampton Court Rd, East Molesey KT8 9AU",50,300,7505.0,158.0,GBP,"ceremony,reception,ceremony_and_reception","Royal palace setting,Formal gardens,Period architecture,Photography permit,Riverside terrace",Extraordinary wedding setting in the grounds of Henry VIII's royal palace,samdevuser@gmail.com,www.hrp.org.uk/hampton-court,2026-06-21|2026-07-05
V005,The Capitol Hotel Rooftop,Tokyo,Japan,hotel,indoor,"2-10-3 Nagatacho, Chiyoda, Tokyo 100-0014",50,250,1050000.0,24000.0,JPY,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Panoramic city views,Japanese garden terrace,Bridal dressing room,Kaiseki catering,AV equipment",Sophisticated luxury hotel overlooking the Imperial Palace gardens,samdevuser@gmail.com,www.capitolhotel-tokyu.com,2026-06-13|2026-07-18|2026-09-05
V006,Hamarikyu Gardens Ceremony Lawn,Tokyo,Japan,garden,outdoor,"1-1 Hamarikyuteien, Chuo City, Tokyo 104-0046",30,150,600000.0,18000.0,JPY,"ceremony,reception,ceremony_and_reception","Tidal garden,Traditional tea house,Pond views,Seasonal flowers,Outdoor pavilion",Ancient feudal garden with tidal pond — a serene outdoor ceremony escape in central Tokyo,samdevuser@gmail.com,www.hamarikyu-gardens.jp,2026-05-31|2026-08-16
V007,Park Hyatt New York Ballroom,New York City,USA,hotel,indoor,"153 W 57th St, New York, NY 10019",100,500,12000.0,220.0,USD,"ceremony,reception,ceremony_and_reception,rehearsal_dinner,bridal_shower","Central Park views,Butler service,Luxury bridal suite,Award-winning catering,Valet parking",Iconic Midtown Manhattan hotel with sweeping Central Park vistas from the 25th floor,samdevuser@gmail.com,www.parkhyatt.com/newyork,2026-06-20|2026-07-04|2026-08-15
V008,Brooklyn Botanic Garden Terrace,New York City,USA,garden,outdoor,"990 Washington Ave, Brooklyn, NY 11225",40,200,6000.0,145.0,USD,"ceremony,reception,ceremony_and_reception","Cherry blossom grove,Japanese hill-and-pond garden,Catering kitchen,Tented option,Photogenic landscape",Stunning botanical garden with Japanese-inspired landscapes and seasonal blooms,samdevuser@gmail.com,www.bbg.org/weddings,2026-05-23|2026-09-12
V009,The Tribeca Rooftop,New York City,USA,banquet_hall,outdoor,"2 Desbrosses St, New York, NY 10013",75,300,5500.0,135.0,USD,"reception,ceremony_and_reception,engagement_party,rehearsal_dinner","NYC skyline views,Open rooftop terrace,Full bar,Dance floor,String lighting,Indoor backup",Breathtaking Manhattan skyline rooftop venue in the heart of Tribeca,samdevuser@gmail.com,www.thetribecarooftop.com,2026-06-07|2026-07-25|2026-08-08
V010,The Plaza Hotel Grand Ballroom,New York City,USA,hotel,indoor,"Fifth Ave at Central Park S, New York, NY 10019",120,600,18000.0,280.0,USD,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Louis XVI-style ballroom,White glove service,Champagne reception,Bridal suite,Iconic landmark",The most iconic wedding venue in New York — a Gilded Age palace on Fifth Avenue,samdevuser@gmail.com,www.theplazany.com,2026-06-13|2026-07-11|2026-09-19
V011,Chateau de Versailles Orangerie,Paris,France,mansion,outdoor,"Place d'Armes, 78000 Versailles",80,400,13800.0,230.0,EUR,"ceremony,reception,ceremony_and_reception","Palace gardens,Royal fountains,Heritage architecture,Period furniture,Exclusive buyout",Exclusive access to the historic Orangerie at the Palace of Versailles — utterly unforgettable,samdevuser@gmail.com,www.chateauversailles-spectacles.fr,2026-06-14|2026-07-20
V012,Musee d'Orsay Private Salon,Paris,France,museum,indoor,"1 Rue de la Legion d'Honneur, 75007 Paris",60,200,9200.0,179.0,EUR,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Impressionist art backdrop,Seine river views,Chef-prepared cuisine,Exclusive evening access,Valet",Celebrate among masterpieces in this spectacular former railway station on the Seine,samdevuser@gmail.com,www.musee-orsay.fr,2026-05-30|2026-08-22
V013,Le Marais Garden Courtyard,Paris,France,garden,outdoor,"23 Rue des Francs-Bourgeois, 75003 Paris",30,120,4140.0,120.0,EUR,"ceremony,reception,ceremony_and_reception,engagement_party","Cobblestone courtyard,Ivy-covered walls,Fairy lights,Outdoor heating,Catering kitchen",Intimate walled garden in the heart of historic Le Marais — Parisian romance at its finest,samdevuser@gmail.com,www.lemaraiscourtyard.fr,2026-06-06|2026-07-12
V014,Four Seasons Hotel George V Paris,Paris,France,hotel,indoor,"31 Ave George V, 75008 Paris",50,300,12880.0,221.0,EUR,"ceremony,reception,ceremony_and_reception,rehearsal_dinner,bridal_shower","Eiffel Tower views,Three Michelin-starred restaurant,Floral-covered courtyard,Bridal suite,Spa",Paris's most celebrated luxury hotel with a flower-filled courtyard and Eiffel Tower backdrop,samdevuser@gmail.com,www.fourseasons.com/paris,2026-06-13|2026-07-04|2026-08-29
V015,Taj Mahal Palace Grand Banquet,Mumbai,India,hotel,indoor,"Apollo Bunder, Colaba, Mumbai 400001",100,600,498000.0,8300.0,INR,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Sea-facing ballrooms,Heritage architecture,In-house catering,Bridal suite,Valet parking",The crown jewel of Mumbai — a century-old palace hotel overlooking the Gateway of India,samdevuser@gmail.com,www.tajhotels.com/mumbai,2026-06-15|2026-07-20|2026-08-10
V016,Juhu Beach Sunset Pavilion,Mumbai,India,beach,outdoor,"Juhu Beach, Vile Parle West, Mumbai 400049",50,250,249000.0,6225.0,INR,"ceremony,reception,ceremony_and_reception","Beachfront setting,Sunset views,Decorated mandap,Sound system,Outdoor lighting,Catering tent",Spectacular beachfront wedding with the Arabian Sea at sunset — a Mumbai classic,samdevuser@gmail.com,www.juhupavilionevent.in,2026-05-24|2026-09-14
V017,Falaknuma Palace Banquet,Mumbai,India,mansion,indoor,"Engine Bowli, Hyderabad-linked venue in Mumbai",60,300,664000.0,9960.0,INR,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Palace architecture,Royal decor,Traditional catering,Bridal preparation room,AV setup",A Nizam-era palace replica offering royal Indian wedding grandeur in Mumbai,samdevuser@gmail.com,www.falaknumapalacemumbai.in,2026-06-07|2026-07-13|2026-08-23
V018,The Club Mumbai Lawn,Mumbai,India,garden,outdoor,"Andheri West, Mumbai 400053",80,500,207500.0,4980.0,INR,"ceremony,reception,ceremony_and_reception,rehearsal_dinner,bridal_shower,engagement_party","Large open lawn,Catering facilities,Stage and lighting,Mandap area,Parking,Generator backup",Versatile open-air lawn venue ideal for large Indian weddings with all event infrastructure,samdevuser@gmail.com,www.theclubmumbai.com,2026-06-14|2026-08-08
V019,Grand Hyatt Seoul Ballroom,Seoul,South Korea,hotel,indoor,"322 Sowol-ro, Yongsan-gu, Seoul 04322",80,450,10125000.0,209250.0,KRW,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Namsan mountain views,Korean-Western fusion catering,Bridal suite,AV equipment,Valet",Elegant Seoul hotel perched above the city with panoramic Namsan Tower views,samdevuser@gmail.com,www.seoul.grand.hyatt.com,2026-06-13|2026-07-19|2026-08-09
V020,Bukchon Hanok Village Garden,Seoul,South Korea,garden,outdoor,"Gyedong-gil, Jongno-gu, Seoul 03054",20,80,4050000.0,148500.0,KRW,"ceremony,engagement_party,bridal_shower","Traditional Korean hanok,Courtyard garden,Hanbok dress rental,Tea ceremony,Photography",Intimate traditional Korean garden wedding in a preserved 600-year-old hanok village,samdevuser@gmail.com,www.bukchonhanokwedding.kr,2026-05-30|2026-09-12
V021,Lotte World Tower Sky Ballroom,Seoul,South Korea,hotel,indoor,"300 Olympic-ro, Songpa-gu, Seoul 05551",100,500,12150000.0,229500.0,KRW,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Seoul skyline panorama,83rd floor views,Luxury catering,Dedicated wedding planner,Valet",Spectacular high-rise ballroom at the summit of Korea's tallest tower,samdevuser@gmail.com,www.lwt.co.kr/weddings,2026-06-20|2026-07-25
V022,Capella Singapore Grand Ballroom,Singapore,Singapore,hotel,indoor,"1 The Knolls, Sentosa Island 098297",80,400,12150.0,236.0,SGD,"ceremony,reception,ceremony_and_reception,rehearsal_dinner,bridal_shower","Sentosa Island setting,Award-winning catering,Bridal villa,Outdoor garden,Pool terrace",Colonial-style resort hotel on Sentosa Island with lush tropical gardens and sea breeze,samdevuser@gmail.com,www.capellahotels.com/singapore,2026-06-13|2026-07-11|2026-08-15
V023,Gardens by the Bay Floral Terrace,Singapore,Singapore,garden,outdoor,"18 Marina Gardens Dr, Singapore 018953",60,300,8775.0,189.0,SGD,"ceremony,reception,ceremony_and_reception","Supertree grove backdrop,Flower Dome access,Tropical gardens,LED lighting,Catering tents",A futuristic botanical paradise — say 'I do' under Singapore's iconic Supertrees,samdevuser@gmail.com,www.gardensbythebay.com.sg/events,2026-05-25|2026-08-09
