caterer_id,caterer_name,city,country,cuisines,min_guests,max_guests,base_price_per_head_local,alcohol_price_per_head_local,dessert_price_per_head_local,currency,alcohol_service,dessert_options,dietary_options,description,contact_email,website,packages
C001,Regal Feast Catering,London,UK,"continental,mediterranean,italian",50,500,67,24,12,GBP,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free,dairy_free","Upscale European cuisine specialists with elegant plating and full bar service",samdevuser@gmail.com,www.regalfeast.co.uk,"silver,gold,platinum"
C002,Spice Symphony,London,UK,"indian,middle_eastern,asian_fusion",30,800,51,20,9,GBP,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,halal,gluten_free","Specialists in South Asian and Middle Eastern wedding banquets with extensive Jain and halal menus",samdevuser@gmail.com,www.spicesymphony.co.uk,"classic,grand,royal"
C003,Harvest Table Co.,London,UK,"american_bbq,continental,mexican",40,400,55,22,10,GBP,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,dairy_free","Farm-to-table caterer with rustic charm, perfect for outdoor and barn weddings",samdevuser@gmail.com,www.harvesttable.co.uk,"rustic,harvest,premium"
C004,Sakura & Umami,London,UK,"japanese,thai,asian_fusion",30,250,71,28,14,GBP,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,gluten_free,nut_free","Refined East Asian cuisine with live sushi and teppanyaki stations",samdevuser@gmail.com,www.sakuraandumami.co.uk,"blossom,sakura,imperial"
C005,Edo Banquet Tokyo,Tokyo,Japan,"japanese,asian_fusion,continental",50,500,9750,4500,1500,JPY,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free","Premium Japanese kaiseki and fusion wedding banquets with sake ceremony and teppanyaki stations",samdevuser@gmail.com,www.edobanquet.jp,"sakura,fuji,imperial"
C006,Wagyu & Zen Tokyo,Tokyo,Japan,"japanese,korean,continental",40,300,13500,6000,2250,JPY,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free","Luxury wagyu beef and Zen-inspired cuisine for exclusive Tokyo wedding receptions",samdevuser@gmail.com,www.wagyuandzen.jp,"zen,harmony,prestige"
C007,Shimbashi Kitchen Tokyo,Tokyo,Japan,"continental,mediterranean,thai",30,400,7500,3000,1200,JPY,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,gluten_free,dairy_free","Contemporary fusion catering bringing global flavours to Tokyo's most prestigious venues",samdevuser@gmail.com,www.shimbashikitchen.jp,"silver,gold,platinum"
C008,Manhattan Bites NYC,New York City,USA,"continental,american_bbq,italian",75,600,95,35,18,USD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free,dairy_free","New York's go-to wedding caterer for upscale American and European cuisine with full bar service",samdevuser@gmail.com,www.manhattanbites.com,"classic,deluxe,platinum"
C009,Brooklyn Harvest Table,New York City,USA,"american_bbq,mexican,continental",50,400,75,28,14,USD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,dairy_free","Farm-to-table Brooklyn caterer with seasonal menus and artisan bar service",samdevuser@gmail.com,www.brooklynharvesttable.com,"harvest,artisan,reserve"
C010,Spice Route NYC,New York City,USA,"indian,middle_eastern,asian_fusion",40,700,80,30,15,USD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,halal,gluten_free","South Asian and Middle Eastern wedding banquets for New York's diverse wedding community",samdevuser@gmail.com,www.spiceroutenyc.com,"saffron,spice,royal"
C011,Le Festin Paris,Paris,France,"continental,french,mediterranean",50,400,92,37,17,EUR,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free,dairy_free","Classic French gastronomic catering with Michelin-trained chefs for Paris's most elegant weddings",samdevuser@gmail.com,www.lefestinparis.fr,"classique,prestige,gastronomique"
C012,Provence Table Paris,Paris,France,"continental,french,mediterranean",30,300,69,26,13,EUR,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,gluten_free","Rustic Provencal and French countryside catering — lavender, fresh herbs and artisan produce",samdevuser@gmail.com,www.provencetable.fr,"rustic,campagne,luxe"
C013,Paris Fusion Kitchen,Paris,France,"french,asian_fusion,middle_eastern",40,500,83,32,16,EUR,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,halal,gluten_free,dairy_free","Contemporary fusion cuisine blending French technique with global flavours for modern Paris weddings",samdevuser@gmail.com,www.parisfusionkitchen.fr,"fusion,moderne,excellence"
C014,Taj Banquet Mumbai,Mumbai,India,"indian,continental,south_indian",100,1000,5810,2490,830,INR,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,halal,gluten_free","Grand Indian wedding banquets with full Mughal, South Indian and continental menus",samdevuser@gmail.com,www.tajbanquetmumbai.in,"anand,shubh,royal"
C015,Spice of India Mumbai,Mumbai,India,"indian,south_indian,continental",50,800,4150,1660,664,INR,false,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,kosher,gluten_free","Vegetarian-specialist caterer offering the full range of Indian regional cuisines — Jain menus a specialty",samdevuser@gmail.com,www.spiceofindiamumbai.in,"sattvic,shakahari,premium"
C016,Mumbai Street to Table,Mumbai,India,"indian,asian_fusion,continental",40,600,3320,1245,581,INR,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,halal,gluten_free","Creative Indian street food elevated to wedding banquet standards — chaats, kebabs and modern classics",samdevuser@gmail.com,www.streettoitablemumbai.in,"chaat,kebab,fusion"
C017,Seoul Table,Seoul,South Korea,"korean,japanese,continental",50,500,78300,29700,10800,KRW,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free","Modern Korean cuisine with traditional hanjeonsik elements for Seoul's luxury wedding market",samdevuser@gmail.com,www.seoultable.kr,"hansik,modern,premium"
C018,K-Banquet Seoul,Seoul,South Korea,"korean,asian_fusion,continental",75,800,94500,40500,16200,KRW,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free","Seoul's premier wedding catering house — exquisite Korean and fusion cuisine for Gangnam's elite",samdevuser@gmail.com,www.kbanquetseoul.kr,"classic,grand,royal"
C019,Hanok Feast Seoul,Seoul,South Korea,"korean,japanese,thai",30,300,54000,21600,8100,KRW,false,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,gluten_free,dairy_free","Traditional Korean tea ceremony and hanjeonsik wedding feast specialists — non-alcoholic beverage packages",samdevuser@gmail.com,www.hanokfeast.kr,"jeon,goryeo,joseon"
C020,Lion City Catering,Singapore,Singapore,"chinese,indian,malay,continental",60,600,135,54,24,SGD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,halal,kosher,gluten_free","Singapore's top multicultural wedding caterer — expert in Chinese, Indian, Malay and Western ceremonies",samdevuser@gmail.com,www.lioncitycatering.sg,"peranakan,fusion,prestige"
C021,Raffles Table Singapore,Singapore,Singapore,"continental,mediterranean,asian_fusion",80,500,189,81,32,SGD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free,dairy_free","Premium continental and Asian fusion catering for Singapore's most prestigious venues",samdevuser@gmail.com,www.rafflestablepsg.sg,"classic,grand,platinum"
C022,Orchid Feast Singapore,Singapore,Singapore,"chinese,malay,indian,continental",40,700,108,43,19,SGD,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,halal,jain,gluten_free","Orchid-inspired multicultural catering celebrating Singapore's food heritage at wedding scale",samdevuser@gmail.com,www.orchidfeast.sg,"orchid,heritage,luxe"
C023,Sydney Table,Sydney,Australia,"continental,mediterranean,australian",60,500,130,52,23,AUD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free,dairy_free","Award-winning Sydney wedding caterer showcasing Australian produce with European technique",samdevuser@gmail.com,www.sydneytable.com.au,"coastal,harvest,prestige"
C024,Harbour Feast Sydney,Sydney,Australia,"australian,continental,asian_fusion",50,400,107,43,18,AUD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,dairy_free","Waterfront wedding catering with Sydney Harbour views — fresh seafood and Australian bush tucker",samdevuser@gmail.com,www.harbourfeast.com.au,"harbour,reef,platinum"
C025,Bush Tucker Table Sydney,Sydney,Australia,"australian,continental,mediterranean",30,300,84,32,15,AUD,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,gluten_free,nut_free","Native Australian ingredients elevated to fine dining — kangaroo, barramundi and wattle seed desserts",samdevuser@gmail.com,www.bushtuckertable.com.au,"billabong,outback,native"
C026,Maison Gastro Paris,Paris,France,"french,continental,italian",60,600,111,46,21,EUR,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,dairy_free","Elegant Parisian wedding catering house combining classic French gastronomy with modern Italian flair",samdevuser@gmail.com,www.maisongastro.fr,"maison,classic,excellence"
C027,Tokyoites Catering,Tokyo,Japan,"japanese,continental,thai",40,350,11250,4500,1800,JPY,false,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,gluten_free,dairy_free","Vegetarian-friendly Tokyo wedding caterer specialising in washoku and Thai fusion — no alcohol packages",samdevuser@gmail.com,www.tokyoitescatering.jp,"zen,wabi,sabi"
C028,NYC Rooftop Eats,New York City,USA,"american_bbq,continental,mexican",50,300,88,34,16,USD,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,gluten_free,dairy_free","Rooftop and outdoor wedding catering specialists for New York's most stylish event venues",samdevuser@gmail.com,www.nycrooftopeats.com,"skyline,urban,prestige"
C029,Samsara Catering Mumbai,Mumbai,India,"south_indian,continental,asian_fusion",40,500,2905,1162,415,INR,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,halal,gluten_free","South Indian wedding specialists — elaborate sadya, appam stations and modern continental fusion",samdevuser@gmail.com,www.samsaracatering.in,"sadya,onam,platinum"
C030,Seoul Garden Feast,Seoul,South Korea,"korean,japanese,continental",40,400,67500,27000,10800,KRW,true,"wedding_cake,dessert_bar,sugar_free","vegetarian,vegan,gluten_free,nut_free","Garden wedding catering blending Korean tradition with seasonal Japanese and continental menus",samdevuser@gmail.com,www.seoulgatdenfeast.kr,"garden,blossom,harmony"
C031,Pure Blessings Singapore,Singapore,Singapore,"indian,continental,chinese",50,1000,81,0,14,SGD,false,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,halal,kosher,gluten_free","Non-alcoholic specialist caterer — complete Jain, halal and kosher menus for Singapore's multicultural community",samdevuser@gmail.com,www.pureblessingssg.sg,"anand,mangal,shubh"
C032,London Spice House,London,UK,"indian,middle_eastern,asian_fusion",50,700,48,19,9,GBP,false,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,halal,kosher,gluten_free","London's premier South Asian and Middle Eastern wedding caterer — no-alcohol packages with full Jain and halal menus",samdevuser@gmail.com,www.londonspicehouse.co.uk,"classic,grand,royal"
C033,The French Quarter NYC,New York City,USA,"french,continental,mediterranean",60,450,110,42,20,USD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,nut_free","Classic French-inspired wedding catering in New York — butter sauces, fine wine pairings and patisserie",samdevuser@gmail.com,www.frenchquarternyc.com,"classique,brasserie,grand"
C034,Namba Kitchen Tokyo,Tokyo,Japan,"japanese,korean,continental",50,600,10500,4200,1650,JPY,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,halal,gluten_free","Modern Japanese-Korean fusion catering for Tokyo and international weddings — halal certified",samdevuser@gmail.com,www.nambakitchen.jp,"namba,osaka,premium"
C035,La Belle Table Sydney,Sydney,Australia,"french,continental,mediterranean",40,400,153,61,27,AUD,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,gluten_free,dairy_free","French-Australian fusion wedding catering — exquisite pastry, charcuterie and Burgundy wine pairings",samdevuser@gmail.com,www.labelletablesyd.com.au,"belle,parisien,prestige"
C036,Mumbai Royal Feast,Mumbai,India,"indian,continental,middle_eastern",80,1200,7470,2905,996,INR,true,"wedding_cake,dessert_bar,sugar_free,both","vegetarian,vegan,jain,halal,gluten_free","Grand-scale Mumbai wedding banquets serving 80 to 1200 guests with full Indian and continental menus",samdevuser@gmail.com,www.mumbairoyalfeast.in,"shahi,mughal,platinum"
